Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Jul,La miss,spotify:track:6RXHipTclQenO0vKFeGZYi,92,0.473,0.824,0.803,6.18e-05,7,0.0976,-4.583,0,0.0448,119.952,0.773
"Dinos, Damso",Du mal à te dire,spotify:track:6krr1QQpT7nN8fjLjdWXIC,92,0.174,0.608,0.464,0,0,0.712,-9.659,0,0.192,83.781,0.274
Zola,AMBER,spotify:track:3OFAB9JacVGaz4CWSsfZhZ,92,0.0877,0.709,0.762,0.00159,6,0.199,-8.919,1,0.243,141.052,0.663
"Le classico organisé, Elams, Naza, Tayc, Jul, Vegedream, Naps, Lynda, SAF, THABITI",Cœur de pirate,spotify:track:2InKuNaoyiBDf4dmr780BZ,92,0.0765,0.826,0.701,0,6,0.0942,-5.596,0,0.0672,117.991,0.654
"Stefy De Cicco, Shibui, Andrea Zelletta",Superstar,spotify:track:79DFRI318iJU1hvZnPzA4K,92,0.0195,0.737,0.927,0.000278,7,0.197,-4.0,1,0.0441,126.015,0.8
PNL,La misère est si belle,spotify:track:1s3XtkdfT3obSCbQVWtvX9,90,0.451,0.803,0.624,0.000734,7,0.1,-6.764,0,0.0477,95.968,0.628
Lomepal,À peu près,spotify:track:4VpmtsVKIRfNlmrtaEnrQi,90,0.089,0.739,0.682,0.000259,10,0.526,-6.811,1,0.0561,129.983,0.638
GAYLE,abcdefu,spotify:track:4fouWK6XVHhzl78KzQ1UjL,90,0.299,0.695,0.54,0,4,0.367,-5.692,1,0.0493,121.932,0.415
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,90,0.0076,0.824,0.862,0.000132,2,0.303,-3.424,1,0.126,122.98,0.801
Djadja & Dinaz,BONKASA,spotify:track:62u6D0NgRPtFcCdF5rNLeh,88,0.293,0.557,0.746,0,6,0.115,-4.066,0,0.258,86.683,0.577
SDM,Mr. Ocho,spotify:track:1xLCwgQcF6bKncTJmRGGws,88,0.34,0.762,0.59,0,0,0.0765,-7.039,0,0.165,122.105,0.738
Niska,44,spotify:track:2kg6gav2Y7ceVoZ0s5l3Zz,88,0.322,0.771,0.689,0,5,0.222,-4.352,1,0.292,142.068,0.79
SCH,Autobahn,spotify:track:03o8WSqd2K5rkGvn9IsLy2,88,0.00852,0.801,0.815,0.0203,11,0.313,-6.861,1,0.108,140.013,0.629
SDM,Bolide allemand,spotify:track:0EzNyXyU7gHzj2TN8qYThj,88,0.441,0.718,0.643,0,4,0.113,-7.473,0,0.16,131.825,0.645
"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),spotify:track:2DB4DdfCFMw1iaR6JaR03a,88,0.182,0.756,0.697,0,8,0.333,-6.377,1,0.0401,94.996,0.956
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),spotify:track:2dHHgzDwk4BJdRwy9uXhTO,88,0.417,0.715,0.62,0,1,0.0822,-6.005,0,0.0484,97.95,0.172
"Grand Corps Malade, Louane",Derrière le brouillard,spotify:track:41mbANHqOIULPmYi5Hp4ey,86,0.167,0.68,0.616,0,6,0.127,-8.528,0,0.107,109.842,0.229
Måneskin,THE LONELIEST,spotify:track:7exHT4swWOKL5addPeqkLP,86,0.00151,0.525,0.599,0,2,0.0762,-5.001,1,0.0281,129.841,0.226
Jaymes Young,Infinity,spotify:track:1SOClUWhOi8vHZYMz3GluK,86,0.148,0.671,0.673,5.29e-05,11,0.304,-6.941,0,0.0444,121.963,0.494
Gala,Freed From Desire,spotify:track:3Ucr6hQQuY8cZ0UqXV8uO2,84,0.389,0.715,0.76,0.0199,2,0.107,-7.534,0,0.0408,128.984,0.667
Louane,Secret,spotify:track:7dISpxgINJOQSuXUTEfB9x,84,0.901,0.643,0.276,0,5,0.114,-8.481,0,0.0596,149.503,0.213
Lomepal,Tee,spotify:track:2wqnUV5B4g6u3somiH9JkX,82,0.689,0.606,0.41,0.000356,4,0.321,-9.532,0,0.0874,123.315,0.228
Eminem,Mockingbird,spotify:track:561jH07mF1jHuk7KlaeF0s,82,0.209,0.637,0.678,0,0,0.156,-3.798,1,0.266,84.039,0.254
CKay,emiliana,spotify:track:6cWath96kzfqITDd6S0El8,82,0.638,0.738,0.549,0.402,6,0.111,-9.704,1,0.0513,98.965,0.475
Rosa Linn,SNAP,spotify:track:76OGwb5RA9h4FxQPT33ekc,80,0.107,0.565,0.636,9.9e-06,0,0.447,-8.198,1,0.0638,170.01,0.525
"Kerchak, Ziak",Peur (feat. Ziak),spotify:track:0S1WhhsVn5wxUngCz5TQnE,80,0.196,0.701,0.834,0,9,0.0264,-5.024,1,0.364,159.964,0.799
